Snapshot Month,SOW ID,Customer Name,Product Sub-Category,Starting ARR,New ARR,Expansion ARR,Contraction ARR,Churn ARR,Ending ARR,Region,Vertical,Segment,Contract Start Date,Contract End Date,Renewal Risk
2024-10,SOW-010,MediaCorp International,Quantum Platform,900000,0,0,0,0,900000,Europe,Telecom/Media/Tech,Enterprise,2024-08-20,2027-08-20,Low
2024-10,SOW-011,Unilever Global,Quantum Platform,0,1200000,0,0,0,1200000,Europe,Unilever,Enterprise,2024-10-25,2027-10-25,Low
2024-11,SOW-001,Acme Corporation,Quantum Platform,600000,0,0,0,0,600000,North America,Life Sciences,Enterprise,2024-01-15,2027-01-15,Low
2024-11,SOW-002,TechFlow Industries,SMART Analytics,450000,0,0,0,0,450000,Europe,Telecom/Media/Tech,Enterprise,2023-06-01,2026-06-01,Low
2024-11,SOW-003,Global Pharma Inc,Cost Drivers Suite,600000,0,0,0,0,600000,North America,Life Sciences,Enterprise,2023-03-15,2026-03-15,Low
2024-11,SOW-005,EnergyPlus Corp,SMART Analytics,225000,0,0,0,0,225000,Middle East,Energy & Utilities,Enterprise,2023-07-01,2026-07-01,Low
2024-11,SOW-006,FinServ Partners,Opus Enterprise,750000,0,0,0,0,750000,APAC,BFSI,Enterprise,2024-02-01,2027-02-01,Low
2024-11,SOW-007,ChemCo Industries,SMART Analytics,600000,0,0,0,0,600000,North America,Chemicals/Oil/Gas/Resources,Enterprise,2024-04-18,2027-04-18,Low
2024-11,SOW-008,GovTech Solutions,Cost Drivers Suite,500000,0,0,0,0,500000,North America,Public Sector,Enterprise,2024-05-01,2027-05-01,Low
2024-11,SOW-009,Blackstone Ventures,SMART Analytics,225000,0,0,0,0,225000,North America,Private Equity,Enterprise,2024-06-10,2027-06-10,Low
2024-11,SOW-010,MediaCorp International,Quantum Platform,900000,0,0,0,0,900000,Europe,Telecom/Media/Tech,Enterprise,2024-08-20,2027-08-20,Low
2024-11,SOW-011,Unilever Global,Quantum Platform,1200000,0,0,0,0,1200000,Europe,Unilever,Enterprise,2024-10-25,2027-10-25,Low
2024-12,SOW-001,Acme Corporation,Quantum Platform,600000,0,0,0,0,600000,North America,Life Sciences,Enterprise,2024-01-15,2027-01-15,Low
2024-12,SOW-002,TechFlow Industries,SMART Analytics,450000,0,0,0,0,450000,Europe,Telecom/Media/Tech,Enterprise,2023-06-01,2026-06-01,Low
2024-12,SOW-003,Global Pharma Inc,Cost Drivers Suite,600000,0,0,0,0,600000,North America,Life Sciences,Enterprise,2023-03-15,2026-03-15,Low
2024-12,SOW-005,EnergyPlus Corp,SMART Analytics,225000,0,0,0,0,225000,Middle East,Energy & Utilities,Enterprise,2023-07-01,2026-07-01,Low
2024-12,SOW-006,FinServ Partners,Opus Enterprise,750000,0,50000,0,0,800000,APAC,BFSI,Enterprise,2024-02-01,2027-02-01,Low
2024-12,SOW-007,ChemCo Industries,SMART Analytics,600000,0,0,0,0,600000,North America,Chemicals/Oil/Gas/Resources,Enterprise,2024-04-18,2027-04-18,Low
2024-12,SOW-008,GovTech Solutions,Cost Drivers Suite,500000,0,0,0,0,500000,North America,Public Sector,Enterprise,2024-05-01,2027-05-01,Low
2024-12,SOW-009,Blackstone Ventures,SMART Analytics,225000,0,0,0,0,225000,North America,Private Equity,Enterprise,2024-06-10,2027-06-10,Low
2024-12,SOW-010,MediaCorp International,Quantum Platform,900000,0,0,0,0,900000,Europe,Telecom/Media/Tech,Enterprise,2024-08-20,2027-08-20,Low
2024-12,SOW-011,Unilever Global,Quantum Platform,1200000,0,0,0,0,1200000,Europe,Unilever,Enterprise,2024-10-25,2027-10-25,Low
